Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point,App Android,App iOS, Assembly District, Congress District,DSNY District, DSNY Section,DSNY Zone,Senate District
Queens,Jackson Heights,Jackson Heights Greenmarket,79th St and Northern Blvd,GrowNYC,Year Round,Sundays (Start Time: 8:30 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,403,25,4028500,,,40.753687,-73.886999,115,415,POINT (-73.886999 40.753687),,,34,6,QW03,QW032,QW,13
Brooklyn,The Evergreens Cemetery,Aberdeen Community Garden,"91 Aberdeen St, Brooklyn, 11207",BK Rot,Year Round,"Sundays (Start Time: 1:00 PM - End Time:  4PM (Dec-Feb), 5PM (Mar.-Nov.))","Not accepted: meat, bones, or dairy",www.bkrot.org,304,37,3040700,,,40.6840598,-73.9050492,83,386,POINT (-73.9050492 40.6840598),,,54,7,BKN04,BKN043,BKN,18
Brooklyn,Park Slope,Old Stone House Brooklyn,"336 3rd St, Brooklyn, NY 11215",Old Stone House Brooklyn,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),,,306,39,3013500,,,40.6727118,-73.984731,78,107,POINT (-73.984731 40.6727118),,,52,10,BKS06,BKS064,BKS,26
Brooklyn,Crown Heights (North),Crown Heights Franklin Ave Food Scrap Drop-off,Franklin Avenue & Eastern Parkway,GrowNYC,Year Round,Thursdays (Start Time: 8:30 AM - End Time:  11:30 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,308,35,3021900,,,40.670745,-73.957743,77,77,POINT (-73.957743 40.670745),,,57,9,BKN08,BKN081,BKN,20
Manhattan,Harlem (North),Abyssinian Tot Lot,"130 W 139th St, New York, NY 10030",GrowNYC and the Malcolm X Boulevard Beautification Group,Year Round,Saturday (Start Time: 8:00 AM - End Time:  12:30 PM),,grownyc.org/compost,110,9,1023000,,,40.8172313,-73.9408451,32,35,POINT (-73.9408451 40.8172313),,,70,13,MN10,MN104,MN,30
Manhattan,Hamilton Heights-Sugar Hill,145th St Food Scrap Drop-off,145th St & Edgecombe Ave,GrowNYC,Year Round,Thursdays (Start Time: 7:30 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,110,9,1023100,,,40.823692,-73.943764,30,26,POINT (-73.943764 40.823692),,,71,13,MN10,MN104,MN,30
Queens,Sunnyside,45th Street Composters,"41-12 45th Street (45th St & Skillman Ave, Queens, NY 11104)",Volunteers at 45th Street Compost,Year Round,Sundays (Start Time: 10:30 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://linktr.ee/45thstreetcomposters,402,26,4018300,,,40.746199,-73.919118,108,410,POINT (-73.919118 40.746199),,,37,7,QW02,QW022,QW,12
Manhattan,East Village,Down to Earth Garden (formerly Children's Garden),"546 East 12th St, New York, NY 10009",Down to Earth Garden,Year Round,"Tuesdays and Sundays (Start Time: Tuesday: 1:30PM, Sunday 12:00pm - End Time:  Tuesday 4pm, Sunday 4pm)","Keep food scraps and plant material separated. This site accepts meat, fish, and dairy",https://downtoearthgarden.org/,103,2,1003400,,,40.7280614,-73.9792926,9,114,POINT (-73.9792926 40.7280614),,,74,10,MN03,MN034,MN,27
Bronx,Soundview-Bruckner-Bronx River,NW Bruckner Boulevard & Evergreen Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,17,2005200,,,40.82371538,-73.88005123,43,341,POINT (-73.88005123 40.82371538),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=11,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363703,85,14,BX09,BX091,BX,32
Brooklyn,Bushwick (East),NE Bushwick Avenue & Himrod Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,3039500,,,40.69391737,-73.92580301,83,378,POINT (-73.92580301 40.69391737),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=79,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363771,53,7,BKN04,BKN042,BKN,18
Brooklyn,Greenpoint,North Brooklyn Compost,"Russell Street &, Nassau Ave, Brooklyn, NY 11222",North Brooklyn Compost,Year Round,Sundays (Start Time: 10:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://www.instagram.com/nbkcompost/?hl=en,301,33,3059100,,,40.724493,-73.94375,94,132,POINT (-73.94375 40.724493),,,50,7,BKN01,BKN013,BKN,59
Brooklyn,Bedford-Stuyvesant (East),SE Lewis Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3029500,,,40.68419729,-73.93525746,81,146,POINT (-73.93525746 40.68419729),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=28,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363720,56,8,BKN03,BKN034,BKN,25
Brooklyn,Flatbush (West)-Ditmas Park-Parkville,Cortelyou Greenmarket,Argyle Rd and Cortelyou Rd,GrowNYC,Year Round,Sundays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,314,40,3152200,,,40.641438,-73.966333,70,230,POINT (-73.966333 40.641438),,,44,9,BKS14,BKS142,BKS,21
Manhattan,Financial District-Battery Park City,SmartComposting: Wall & Pearl Streets,Wall and Pearl Streets (Southwest corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,1000700,,,40.70559,-74.00812,1,11,POINT (-74.00812 40.70559),,,65,10,MN01,MN011,MN,27
Bronx,Concourse-Concourse Village,NW Gerard Avenue & East 150th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,8,2006301,,,40.81994461,-73.92850801,44,245,POINT (-73.92850801 40.81994461),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=208,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363900,77,15,BX04,BX041,BX,29
Queens,South Ozone Park,Office of Assemblymember Anderson,131-15 Rockaway Boulevard,Assemblymember Anderson,Year Round,Tuesdays and Wednesdays (Start Time: 12:00 PM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",https://nyassembly.gov/mem/Khaleel-M-Anderson,410,28,4018000,,,40.6749729,-73.8066806,106,479,POINT (-73.8066806 40.6749729),,,31,5,QE10,QE103,QE,10
Brooklyn,Bushwick (East),NW Central Avenue & Moffat Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3041100,,,40.68758323,-73.90656117,83,391,POINT (-73.90656117 40.68758323),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=71,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363763,54,7,BKN04,BKN043,BKN,18
Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,GrowNYC,Year Round,Wednesdays (Start Time: 8:00 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,106,4,1009000,,,40.752606,-73.969036,17,127,POINT (-73.969036 40.752606),,,74,12,MN06,MN063,MN,28
Brooklyn,Crown Heights (North),NW New York Avenue & Prospect Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,3031701,,,40.67428152,-73.94742765,77,71,POINT (-73.94742765 40.67428152),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=118,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363810,43,9,BKN08,BKN082,BKN,20
Queens,Old Astoria-Hallets Point,SW 31st Avenue & 23rd Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,4007700,,,40.76668263,-73.92875042,114,309,POINT (-73.92875042 40.76668263),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=21,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363713,36,14,QW01,QW013,QW,59
Brooklyn,Bushwick (East),SE Knickerbocker Avenue & Menahan Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3043300,,,40.6979632,-73.91719682,83,364,POINT (-73.91719682 40.6979632),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=91,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363783,53,7,BKN04,BKN042,BKN,18
Bronx,Mount Hope,NE East 181st Street & Morris Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,205,14,2024100,,,40.85489479,-73.90380453,46,262,POINT (-73.90380453 40.85489479),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=219,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363911,86,15,BX05,BX052,BX,33
Bronx,Melrose,Rainbow Garden of Health,"757 Melrose Ave Bronx, NY 10451",,Year Round,"Wednesdays, Thursdays, Saturdays (Start Time: 10:00 AM - End Time:  W&Th 1:00 PM, Sat 2:00 PM)","Not accepted: meat, bones, or dairy",,201,17,2006900,,,40.8215402,-73.9155499,40,203,POINT (-73.9155499 40.8215402),,,79,15,BX01,BX011,BX,29
Brooklyn,Bensonhurst,18th Avenue at 64th Street,west of 18th Avenue between 64th Street and 63rd Street,NYC Compost Project Hosted by LES Ecology Center,Year Round,Tuesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,311,38,3024800,,,40.6200069,-73.9894524,62,171,POINT (-73.9894524 40.6200069),,,49,11,BKS11,BKS111,BKS,17
Staten Island,New Dorp-Midland Beach,*CLOSED FOR THE SEASON* Midland Beach,Bedford Ave and Mason Ave,Snug Harbor Youth,Seasonal,Wednesdays (Start Time: 3:30 PM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",https://snug-harbor.org/,502,50,5011203,,,40.575904,-74.09677,122,474,POINT (-74.09677 40.575904),,,64,11,SI02,SI022,SI,24
Manhattan,Hamilton Heights-Sugar Hill,NW Amsterdam Avenue & W 152 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,1023700,,,40.82979403,-73.94453757,30,30,POINT (-73.94453757 40.82979403),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=168,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363860,71,13,MN09,MN093,MN,30
Queens,Rego Park,The Compost Collective,"The corner of Yellowstone Blvd, and Kessel Street Forest Hills, NY 11375",The Compost Collective,Year Round (Except February),Saturdays (Start Time: 12:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/pg/thecompostcollective/about/?ref=page_internal,406,29,4070300,,,40.71645,-73.85778,112,359,POINT (-73.85778 40.71645),,,28,6,QW06,QW062,QW,15
Brooklyn,Flatbush,Flatbush Junction Food Scrap Drop-off,Hillel Pl & Flatbush Ave,GrowNYC,Year Round,Fridays (Start Time: 8:30 AM - End Time:  2:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,314,45,3077400,,,40.632583,-73.948111,70,232,POINT (-73.948111 40.632583),,,42,9,BKS14,BKS143,BKS,21
Brooklyn,Crown Heights (North),SE Rochester Avenue & Park Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,3034700,,,40.6721089,-73.92796252,77,100,POINT (-73.92796252 40.6721089),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=124,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363816,55,9,BKN08,BKN083,BKN,20
Manhattan,Harlem (North),NW West 135 Street & 5th Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,1021200,,,40.81308249,-73.93777002,32,39,POINT (-73.93777002 40.81308249),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=181,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363873,70,13,MN10,MN103,MN,30
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Red Hook Community Farm,103 Otsego St,NYC Compost Project Hosted by Big Reuse,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",,306,38,3005302,,,40.6726299,-74.0103773,76,210,POINT (-74.0103773 40.6726299),,,51,10,BKS06,BKS061,BKS,26
Bronx,Belmont,SW East 187th Street & Southern Boulevard,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,2039300,,,40.85345387,-73.88198409,48,277,POINT (-73.88198409 40.85345387),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=228,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363920,78,15,BX06,BX061,BX,33
Staten Island,Westerleigh-Castleton Corners,NW Houston Street & Willowbrook Road,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,50,5025100,,,40.62262016,-74.14456081,121,469,POINT (-74.14456081 40.62262016),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=163,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363855,61,11,SI01,SI014,SI,24
Brooklyn,Prospect Heights,NE Underhill Avenue & Park Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,3020700,,,40.67617742,-73.96627855,77,94,POINT (-73.96627855 40.67617742),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=110,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363802,44,10,BKN08,BKN081,BKN,20
Brooklyn,Crown Heights (North),NW Albany Avenue & St. Johns Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,3033900,,,40.67112072,-73.93931296,77,95,POINT (-73.93931296 40.67112072),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=122,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363814,43,9,BKN08,BKN082,BKN,20
Queens,Kew Gardens,Kew Gardens Food Scrap Drop-off,Metropolitan Ave & Audley St,GrowNYC,Year Round,Thursdays (Start Time: 9:30 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,409,29,4077500,,,40.707626,-73.836079,102,423,POINT (-73.836079 40.707626),,,28,5,QW09,QW094,QW,14
Bronx,Kingsbridge Heights-Van Cortlandt Village,Kingsbridge Heights Community Center,"3101 Kingsbridge Terrace, Bronx NY 10463",Staff at Kingsbridge Heights Community Center,Year Round,Wednesdays (Start Time: 12:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",www.khcc-nyc.org,208,14,2027700,,,40.877299,-73.900709,50,337,POINT (-73.900709 40.877299),,,81,13,BX08,BX081,BX,31
Manhattan,Financial District-Battery Park City,SmartComposting: Platt & Gold Streets,Platt and Gold Streets (Southeast corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,1001502,,,40.7077,-74.00679,1,7,POINT (-74.00679 40.7077),,,65,10,MN01,MN011,MN,27
Brooklyn,Bedford-Stuyvesant (East),NE Lewis Avenue & Green Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3029100,,,40.6903182,-73.93640511,81,139,POINT (-73.93640511 40.6903182),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=30,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363722,56,8,BKN03,BKN034,BKN,25
Bronx,Norwood,NE Hull Avenue & East 207th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,207,11,2042902,,,40.87527262,-73.87554143,52,326,POINT (-73.87554143 40.87527262),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=235,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363927,80,15,BX07,BX073,BX,33
Queens,Queensbridge-Ravenswood-Dutch Kills,Socrates Sculpture Park,"Broadway & Vernon Blvd, Queens, NY 11106",Socrates Sculpture Park,Year Round,Every day (Start Time: 9:00 AM - End Time:  Dusk),"Not accepted: meat, bones, or dairy",socratessculpturepark.org,401,26,4003700,,,40.768389,-73.937,114,305,POINT (-73.937 40.768389),,,36,14,QW01,QW013,QW,59
Brooklyn,Crown Heights (North),SW Rogers Avenue & Lincoln Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,3021900,,,40.67081709,-73.9532923,77,75,POINT (-73.9532923 40.67081709),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=136,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363828,57,9,BKN08,BKN082,BKN,20
Queens,Astoria (Central),SE 31st Avenue & 35th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,4006100,,,40.76267874,-73.92014229,114,294,POINT (-73.92014229 40.76267874),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=3,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363695,36,14,QW01,QW014,QW,59
Queens,Ridgewood,Ridgewood,Cypress Ave btw Myrtle Ave. and Putnam Ave.,GrowNYC,Year Round,Saturdays (Start Time: 9:30 AM - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,405,34,4055100,,,40.7003,-73.906675,104,437,POINT (-73.906675 40.7003),,,38,7,QW05,QW053,QW,18
Manhattan,Hell's Kitchen,Mathews-Palmer Park,"437 W 45 St, New York, NY 10036",Mathews-Palmer Park,Year Round,Every day (Start Time: Dawn - End Time:  Dusk),"Please register to participate at bit.ly/HKcompost Setup is inside the park gate, under the mosaic panels, to the right of the park house door. Lids must remain closed and all food scraps must be placed INSIDE the bins",,104,3,1012102,,,40.76113,-73.99292,18,62,POINT (-73.99292 40.76113),,,75,12,MN04,MN043,MN,47
Staten Island,St. George-New Brighton,St. George Greenmarket,St. Marks Pl and Hyatt St,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",snug-harbor.org,501,49,5000300,,,40.641967,-74.077928,120,455,POINT (-74.077928 40.641967),,,61,11,SI01,SI012,SI,23
Manhattan,East Harlem (North),Lydia's Magic Garden,"1665 Park Avenue, Manhattan 10035 between 117th and 118th Streets",Lydia's Magic Garden,Seasonal,Tuesday-Sunday (Start Time: Tuesday 5:30 PM-7:30; Wednesday 7:00AM - 9:00AM; Saturday 10:00 AM - 12 PM; Sunday 11:00 AM - 1PM - End Time:  See above ranges),"Bring food scraps inside the garden to place in the compost tumbler. Not accepted: meat, bones, or dairy",https://www.facebook.com/lydiasmagicgarden/,111,8,1018200,,,40.80014,-73.94232,25,191,POINT (-73.94232 40.80014),,,68,13,MN11,MN112,MN,30
Manhattan,Manhattanville-West Harlem,NW West 126th St & Morningside Ave,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,1021303,,,40.8121979,-73.95354006,26,178,POINT (-73.95354006 40.8121979),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=131,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363823,70,13,MN09,MN092,MN,30
Brooklyn,Bedford-Stuyvesant (West),SW Tompkins Avenue & Lafayette Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3026300,,,40.69040998,-73.94542437,79,159,POINT (-73.94542437 40.69040998),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=34,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363726,56,8,BKN03,BKN033,BKN,25
Manhattan,Harlem (South),SW West 122 Street & Malcolm X Blvd,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,1022000,,,40.80582122,-73.94698139,28,43,POINT (-73.94698139 40.80582122),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=178,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363870,70,13,MN10,MN101,MN,30
Queens,Flushing-Willets Point,Queens Botanical Garden Public Food Scrap Drop-Off,"Parking Garden at QBG 42-80 Crommelin Avenue, Flushing, NY 11355",NYC Compost Project Hosted by Queens Botanical Garden,Year Round,Every day (Start Time: 8:00 AM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",,407,20,4079702,,,40.75159,-73.82981,109,442,POINT (-73.82981 40.75159),,,25,6,QE07,QE071,QE,16
Staten Island,St. George-New Brighton,H.E.A.L.T.H for Youths Skyline Community Garden,1 Clyde Place,H.E.A.L.T.H for Youths Skyline Community Garden,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",www.health4youths.org,501,49,5007700,,,40.639901,-74.0902865,120,454,POINT (-74.0902865 40.639901),,,61,11,SI01,SI012,SI,23
Manhattan,Washington Heights (North),NW Audubon Avenue & West 192nd Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,112,10,1027700,,,40.85571567,-73.92743781,34,222,POINT (-73.92743781 40.85571567),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=204,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363896,72,13,MN12,MN123,MN,31
Brooklyn,Crown Heights (North),SE Schenectady Avenue & Sterling Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,3035101,,,40.67155276,-73.93360522,77,90,POINT (-73.93360522 40.67155276),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=127,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363819,43,9,BKN08,BKN083,BKN,20
Brooklyn,Brighton Beach,Brighton Beach Avenue and Ocean Parkway,Southeast corner of Brighton Beach Avenue and Ocean Parkway (Same corner as Big Bazaar Supermarket),NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,313,48,3036001,,,40.5761925,-73.9684342,60,427,POINT (-73.9684342 40.5761925),,,46,8,BKS13,BKS132,BKS,23
Staten Island,Rosebank-Shore Acres-Park Hill,NE Vermont Avenue & Hylan Blvd,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,501,49,5000800,,,40.61258951,-74.06930957,120,465,POINT (-74.06930957 40.61258951),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=160,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363852,63,11,SI01,SI011,SI,23
Queens,Astoria (Central),SE 31st Avenue & 36th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,4006100,,,40.76236315,-73.91936067,114,295,POINT (-73.91936067 40.76236315),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=98,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363790,36,14,QW01,QW014,QW,59
Brooklyn,Bushwick (East),NW St. Nicholas Avenue & Linden Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3043900,,,40.70137351,-73.91136554,83,369,POINT (-73.91136554 40.70137351),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=102,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363794,53,7,BKN04,BKN042,BKN,18
Bronx,Pelham Bay-Country Club-City Island,NE City Island Avenue & Winter Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,13,2051601,,,40.84382558,-73.78518753,45,354,POINT (-73.78518753 40.84382558),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=18,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363710,82,14,BX10,BX101,BX,34
Brooklyn,Bedford-Stuyvesant (East),SW Patchen Avenue & Monroe Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3038500,,,40.68815347,-73.92714042,81,135,POINT (-73.92714042 40.68815347),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=23,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363715,56,8,BKN03,BKN034,BKN,25
